source_run,case_id,claim_id,system_color,human_color,predicted_color,rule_reason,reward,human_reason
outputs/runs/manual_reviewer_bad_citation,boundary_bad_citation,C001,Yellow,Yellow,Yellow,supporting_sentence_missing,2,文献存在但 claim 只是泛泛相关，supporting sentence 来自输入 PDF 且不具体支持该引用。
outputs/runs/manual_reviewer_bad_citation,boundary_bad_citation,C002,Green,Green,Green,green_gate_passed,3,Crossref/OpenAlex 元数据一致，摘要句子直接支持 claim。
outputs/runs/manual_reviewer_bad_citation,boundary_bad_citation,C003,Red,Red,Red,invalid_doi,3,DOI 格式故意错误，属于明确错误引用。
outputs/stress_audits/20260604_015740,keywords_before_abstract,C001,Green,Green,Green,green_gate_passed,3,两源元数据一致，摘要句子逐字支持 claim。
outputs/stress_audits/20260604_015740,keywords_before_abstract,C002,Yellow,Yellow,Yellow,supporting_sentence_missing,2,文献存在且元数据匹配，但没有检索到该文献摘要中的具体 supporting sentence。
outputs/stress_audits/20260604_015740,no_declared_keywords,C001,Green,Green,Green,green_gate_passed,3,摘要原句明确支持 claim，元数据两源一致。
outputs/stress_audits/20260604_015740,no_declared_keywords,C004,Yellow,Yellow,Yellow,supporting_sentence_missing,2,元数据存在，但支持证据来自输入 PDF 的主题句，不能证明该 cited work 支持 claim。
outputs/stress_audits/20260604_015740,scanned_or_low_text,C001,Yellow,Yellow,Yellow,supporting_sentence_missing,2,扫描/低文本输入只能提供 placeholder 证据，即使元数据匹配也需要人工复查。
outputs/stress_audits/20260604_015740,scanned_or_low_text,C002,Green,Yellow,Yellow,insufficient_green_gate,2, citation 本身有摘要支持，但输入 PDF 为 scanned/low-text，生成 idea 与输入材料关系不可审计，展示时应降为人工复查。
outputs/generalization_audits/20260604_020010,ai_rag_knowledge_nlp,C001,Yellow,Yellow,Yellow,year_mismatch_requires_review,2,标题作者 DOI 一致但年份不一致，应该人工确认 preprint/journal 年份，不应直接 Red。
outputs/generalization_audits/20260604_020010,ai_rag_knowledge_nlp,C002,Green,Green,Green,green_gate_passed,3,摘要句子直接支持 claim，元数据一致。
outputs/generalization_audits/20260604_020010,ai_rag_knowledge_nlp,C003,Yellow,Yellow,Yellow,supporting_sentence_missing,2,文献存在，但 supporting sentence 来自输入 PDF 而非 cited work 摘要，支持关系不足。
outputs/generalization_audits/20260604_020010,finance_finrl,C001,Yellow,Yellow,Yellow,supporting_sentence_missing,2,元数据匹配，但支持证据主要来自输入 PDF 首页而不是 cited paper 的可核查摘要。
outputs/generalization_audits/20260604_020010,finance_finrl,C004,Yellow,Yellow,Yellow,supporting_sentence_missing,2,文献存在，但系统只找到输入 PDF 的 FinRL 主题句，不能确认该 adaptive model selection 论文具体支持 claim。
